Rating	Number of ratings	Number of Oscars	Title of the movie
9.2	2700500	0	A remény rabjai
9.2	1874568	3	A keresztapa
9	2674302	2	A sötét lovag
9	1280865	6	A keresztapa II
9	797622	0	Tizenkét dühös ember
8.9	1365144	7	Schindler listája
8.9	1859601	11	A Gyűrűk Ura: A király visszatér
8.8	2072977	1	Ponyvaregény
8.8	1888941	4	A Gyűrűk Ura: A gyűrű szövetsége
8.8	767110	0	A Jó, a Rossz és a Csúf
8.8	2097651	6	Forrest Gump
8.7	2145478	0	Harcosok klubja
8.7	1679135	2	A Gyűrűk Ura: A két torony
8.7	2372524	4	Eredet
8.7	1301659	1	A Birodalom visszavág
8.7	1927209	4	Mátrix
8.7	1171414	1	Nagymenők
8.6	1014312	5	Száll a kakukk fészkére
8.6	1667245	0	Hetedik
8.6	348516	0	A hét szamuráj
8.6	466406	0	Az élet csodaszép
8.6	1443865	5	A bárányok hallgatnak
8.6	1401974	5	Ryan közlegény megmentése
8.6	761767	0	Isten városa
8.6	1857792	1	Csillagok között
8.6	701008	3	Az élet szép
8.6	1312707	0	Halálsoron
8.5	1374094	6	Csillagok háborúja
8.5	1107479	4	Terminátor 2. - Az ítélet napja
8.5	1216512	1	Vissza a jövőbe
8.5	772342	1	Chihiro szellemországban
8.5	840322	3	A zongorista
8.5	677258	0	Psycho
8.5	821078	4	Élősködők
8.5	1171071	0	Léon, a profi
8.5	1067403	2	Az oroszlánkirály
8.5	1512124	5	Gladiátor
8.5	1129895	0	Amerikai história X
8.5	1335306	4	A tégla
8.5	1092209	2	Közönséges bűnözők
8.5	1343818	0	A tökéletes trükk
8.5	877147	3	Whiplash
8.5	575981	3	Casablanca
8.5	281112	0	Szentjánosbogarak sírja
8.5	58878	0	Harakiri
8.5	866832	0	Életrevalók
8.4	244931	0	Modern idők
8.4	332812	0	Volt egyszer egy vadnyugat
8.4	495641	0	Hátsó ablak
8.4	263928	1	Cinema Paradiso
8.4	890076	1	A nyolcadik utas: a Halál
8.4	186370	0	Nagyvárosi fények
8.4	673084	2	Apokalipszis most
8.4	1247324	0	Mementó
8.4	1569729	2	Django elszabadul
8.4	973652	4	Az elveszett frigyláda fosztogatói
8.4	1125132	1	Wall-E
8.4	392453	1	A mások élete
8.4	224040	3	Alkony sugárút
8.4	199430	0	A dicsőség ösvényei
8.4	1031758	0	Ragyogás
8.4	226003	0	A diktátor
8.4	1094414	0	Bosszúállók: Végtelen háború
8.4	127200	0	A vád tanúja
8.3	723470	2	A bolygó neve: Halál
8.3	540873	1	Pókember - Irány a Pókverzum
8.3	1161333	5	Amerikai szépség
8.3	494718	0	Dr. Strangelove, avagy rájöttem, hogy nem kell félni a bombától, meg is lehet szeretni
8.3	1717206	0	A sötét lovag: Felemelkedés
8.3	585759	0	Oldboy
8.3	1464135	1	Becstelen brigantyk
8.3	404665	8	Amadeus
8.3	517895	2	Coco
8.3	1002090	0	Toy Story - Játékháború
8.3	1309381	2	Joker
8.3	1044250	5	A rettenthetetlen
8.3	252933	0	A tengeralattjáró
8.3	1147133	0	Bosszúállók: Végjáték
8.3	399283	0	A vadon hercegnője
8.3	355400	2	Volt egyszer egy Amerika
8.3	982644	2	Good Will Hunting
8.3	274491	0	A neved
8.3	404520	0	3 félnótás
